nss,57996,1480,0,0,51,4275,155,86173
sqlite,0,13,66,0,14,46,122,62920
opencv,36687,7424,3,11,172,12688,670,239925
pcl-master,0,9,0,0,77,729,296,95312
glfw-master,0,0,0,0,9,3,15,10688
gstreamer-main,3448,1446,0,1,164,1091,251,289775
vlc-master,4430,299,36,0,28,428,829,114944
qt,4085,3533,0,11,385,3445,3158,383142
rt-thread-master,448999,36690,59,4,37,594,444,754237
uC-OS2-develop,34110,180,0,0,0,0,0,3894
buildroot-master,0,0,122,0,2,0,38,5169
ChibiOS-master,18229,799,0,1,1,10,17,22008
openwrt-main,1680,127,97,0,16,3,106,30280
tinycc-mob,1933,1078,14,6,237,73,43,14839
FreeRTOS-Kernel-main,36123,36541,0,0,3,3,0,5710
zephyr-main,9971,2302,0,6,224,70,248,197308
contiki-master,4478,1537,0,0,29,28,67,48835
u-boot,23437,6283,0,7,94,62,210,231102
xen-master,9894,3255,56,334,408,340,337,93342
nuttx-master,36983,2653,0,9,54,91,340,204446
qemu-master,15141,7445,58,5,398,974,665,243747
libpng-code,235,72,56,0,3,88,11,9895
redis-unstable,0,21,47,0,42,80,178,41629
OpenBLAS,1489836,26964,0,9,102,7675,16,449854
libtiff-master,0,0,0,0,3,6,49,15752
fftw3-master,0,155,0,0,26,439,4,6037
curl-master,0,2,4,2,8,5,194,31194
ompi-main,0,272,53,0,83,340,203,
wireshark-master,0,11,1,0,4,181,547,374457
minix-master,276883,5364,830,1092,635,5393,7716,980373
grub,15659,1338,91,0,190,145,97,41662
coreboot,10548,1729,1,16,80,407,147,117057
rtems,51534,10604,0,2,60,61,1239,120725
gtk-main,0,106,0,4,4,730,19,94624
eigen,0,175,0,3,39,3657,51,42350
math-develop,0,14,0,0,32,152,19,32519
gsl-master,0,5,62,0,8,7,39,30268
moosefs-master,0,0,53,0,0,0,365,17032
VTK-master,0,290,1,4,120,3005,957,532559
ITK-master,209,315,6,17,121,3848,466,215393
flann-master,0,0,0,3,2,1,4,2856
superlu-master,0,0,0,0,0,0,3,11943
petsc-main,0,2996,0,0,34,1046,47,133979
gmpy-master,0,0,0,0,0,0,0,4562
cgal-master,0,40,0,0,29,1091,1473,184148
Trilinos-master,0,71,36,12,99,1105,3851,652472
kokkos-master,0,32,0,6,14,330,113,24369
Halide-main,5,42,0,3,31,743,1435,52801
libav-master,64962,6911,37,0,116,190,230,90634
HIP-develop,0,5,0,0,0,0,61,6834
flac-master,0,14,14,0,57,3295,17,13811
arrayfire-master,0,4,0,6,2,6,57,21922
portmidi-master,0,0,0,0,0,0,2,1850
src-master,139043,31261,1430,2219,958,37968,7816,2515048
xgboost-master,0,1,0,2,3,10,53,14311
tnt,0,0,0,0,0,0,0,699
fuchsia-main,303241,1891,0,27,541,278,4487,744079
libsndfile-master,0,3,3,0,4,15,157,11323
libsimdpp-master,0,25,0,8,36,2620,0,9111
freebsd,552140,21810,1066,763,2076,26125,12473,2540938
libusb-master,0,0,0,0,0,0,42,4754
threadx-master,269648,3149,0,0,4,0,2,17967
bullet3-master,0,289,0,17,75,4999,307,100143
ogre-master,0,51,0,0,12,1059,103,61909
openal-soft-master,0,7,0,3,10,253,87,11915
caffe-master,0,0,0,0,2,0,48,9188
armnn-branches-armnn_23_08,15,8,0,0,9,133,65,29387
mesos-master,0,1,4,0,5,2,1952,47975
kicad-master,4299,2620,96,5,441,365,745,185598
openvdb-master,0,0,0,4,10,44,206,44542
openexr-main,0,423,2,0,59,700,30,16536
assimp-master,3619,843,0,0,35,258,270,59642
oneTBB-master,0,59,0,0,53,121,60,21634
nanomsg-master,0,0,0,0,0,0,11,3246
tesseract-main,0,1,1,0,13,284,41,28587
CryEngine-release,0,300,2,4,26,3103,1004,504983
wxWidgets-master,0,12,57,0,31,17,577,143656
armadillo-code-12.6.x,0,9,0,0,4,1,59,23744
abseil-cpp-master,0,76,0,8,76,164,42,21935
libzmq-master,0,61,0,0,6,17,57,9381
libgit2-main,0,9,0,0,11,11,73,42841
plasma-framework-master,0,5877,0,0,0,0,16,3024
mongo-master,8667,36215,544,33,1011,4798,2285,968394
postgres-master,81,212,48,3,24,193,552,154736
SDL_mixer-main,0,47,0,0,21,511,7,7502
liquid-dsp-master,12,4,50,0,1,548,41,15533
poco-devel,0,57,0,0,28,79,535,78793
tinyXML,2 0,0,0,0,1,0,5,2423
gRPC,0,5,0,0,29,2449,136,141807
SFML-master,0,23,0,0,12,207,129,14173
ClanLib-master,0,6,0,0,15,921,104,32676
irrlicht-master,355,38,49,0,4,1,31,44959
portaudio-master,0,436,87,0,6,1,33,8524
mrpt-develop,0,0,0,10,32,306,355,80843
fluidsynth-master,0,2,0,0,0,0,10,6389
drake-master,0,0,1,2,5,101,169,54086
ardupilot-master,318,170,0,15,3,23,319,95303
PEGTL,0,0,0,0,0,19,12,2019
cronie,0,0,0,0,0,0,89,1666
