repo_name,asm_infile,asm_inline,build_scripts,builtins,conditional,intrinsic,syscall,cyclomatic_complexity,label
mesa,19687,509,0,47,102,987,280,395768,ึะ
libdb,26,99,61,0,6,2,441,38240,ตอ
kbd,0,6,6,0,0,0,55,2707,ตอ
libtool,0,0,8,0,0,0,1,797,ตอ
coreutils,0,658,0,0,4,79,168,13648,ึะ
groff,0,0,5,0,0,0,64,21152,ตอ
ffmpeg,110803,24585,50,2,121,467,475,193882,ึะ
ncurses,0,0,42,0,0,0,111,21698,ตอ
gdbm,0,0,0,0,0,0,36,2861,ตอ
libcap-testing,0,0,0,0,0,0,0,2477,ตอ
mpfr,0,707,7,0,6,21,7,16335,ึะ
file,0,0,0,0,0,0,37,4453,ตอ
less,0,0,0,0,0,0,32,5492,ตอ
sed,0,0,0,0,0,0,3,899,ตอ
dejagnu,0,1,37,0,0,0,0,135,ตอ
elfutils,273,60,12,2,7,10,228,20880,ึะ
nano,0,0,0,0,0,0,93,5016,ตอ
libcap-ng,0,0,0,0,0,0,11,635,ตอ
shadow,0,1,0,0,0,0,177,7180,ตอ
readline,0,0,38,0,2,0,55,6365,ตอ
cython,0,0,0,0,0,0,1,27201,ตอ
gzip,0,40,0,0,3,3,7,4705,ตอ
gcc,86179,16501,413,2861,728,71892,1527,1197504,ธ฿
gperf,0,0,0,0,0,0,1,1377,ตอ
zlib,365,15,2,0,6,10,81,4635,ตอ
iputils,0,0,0,0,0,0,5,1242,ตอ
libpipeline,0,0,0,0,0,0,0,530,ตอ
grep,0,0,0,0,0,0,1,1062,ตอ
bash,68,0,85,0,2,0,218,29019,ตอ
ninja,0,0,0,0,0,0,171,3239,ึะ
binutils-gdb,1110755,5790,1006,9,221,339,1108,482885,ธ฿
diffutils,0,8,65,0,3,0,173,2063,ตอ
meson,237,5,0,8,0,54,5,21270,ตอ
busybox,2310,838,7,0,51,18,683,39530,ึะ
pkgconf,0,0,0,0,0,0,2,1225,ตอ
patch,0,0,0,0,0,0,19,2035,ตอ
kmod,0,0,0,0,0,0,43,2773,ตอ
iftop,0,0,0,0,0,0,16,1097,
gawk,0,11,111,0,2,0,117,13974,ตอ
gettext,0,49,40,0,6,0,45,62177,ตอ
make,0,2,0,0,3,0,81,6519,ตอ
iproute2,0,3,1,0,3,0,77,24191,
zstd,413,57,0,1,42,257,24,16547,ตอ
dhcp,0,0,43,0,0,0,72,22826,ตอ
autoconf,0,0,39,0,0,0,0,0,ตอ
glibc,311288,8938,129,18,164,275,782,93832,ธ฿
pcre2,0,83,0,0,120,57,8,21501,ตอ
e2fsprogs,0,3,62,0,8,2,322,25859,ตอ
texinfo,0,23,117,0,2,0,56,14816,ตอ
openssl,6144,365,2,0,75,132,156,103354,
check,0,0,0,0,0,0,18,1541,ตอ
flex,0,0,0,0,0,0,7,1531,ตอ
tar,0,0,0,0,0,0,20,4752,ตอ
findutils,0,4,111,0,6,0,380,2559,ตอ
bison,0,0,0,0,0,0,5,3354,ตอ
acl,0,0,0,0,0,0,15,1303,ตอ
automake,0,0,36,0,0,0,0,1,ตอ
bzip2,0,0,0,0,0,0,2,1306,ตอ
passwd,0,0,0,0,0,0,0,207,
gnutls,122531,1,8,0,11,3,224,39705,ึะ
npth,0,0,42,0,0,0,8,407,ตอ
mpc,0,0,0,0,0,0,3,2599,ตอ
